StationId,obsTime,ELEV,RAIN,MIN_10,HOUR_3,HOUR_6,HOUR_12,HOUR_24,NOW,StationName,CountyName,Lon,Lat
C0K400,2022/10/30 19:20,65.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,斗六,雲林縣,120.541117,23.720575
C0I370,2022/10/30 19:20,671.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,魚池,南投縣,120.94135,23.895703
U2HA50,2022/10/30 19:20,156.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,臺大竹山,南投縣,120.681556,23.756972
CAD040,2022/10/30 19:20,48.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國一S088K,新竹縣,121.0214,24.84444
C1D640,2022/10/30 19:20,718.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,外坪五指,新竹縣,121.090961,24.644447
C0E740,2022/10/30 19:20,27.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,造橋,苗栗縣,120.864778,24.637056
01H780,2022/10/30 19:20,485.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,內茅埔(2),南投縣,120.851828,23.6906
C0G740,2022/10/30 19:20,24.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,大城,彰化縣,120.320922,23.852481
81H990,2022/10/30 19:20,948.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,羅娜國小,南投縣,120.870556,23.628333
C0F9T0,2022/10/30 19:20,111.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,西屯,臺中市,120.641275,24.179494
CAL050,2022/10/30 19:20,113.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國三N279K,嘉義縣,120.523333,23.596111
C0S710,2022/10/30 19:20,382.0,-998.0,-998.0,-998.0,-998.0,0.0,1.0,0.0,鹿野,臺東縣,121.122994,22.917711
81V840,2022/10/30 19:20,335.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,新發國小,高雄市,120.6625,23.0325
467571,2022/10/30 19:20,26.9,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,新竹,新竹縣,121.014219,24.827853
C0X220,2022/10/30 19:20,26.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,學甲,臺南市,120.182167,23.230347
CAN010,2022/10/30 19:20,34.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國一N288K,臺南市,120.290033,23.30609
CAG050,2022/10/30 19:20,60.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國三N196K,彰化縣,120.554482,24.107155
42HA10,2022/10/30 19:20,1000.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,萬大發電廠,南投縣,121.139639,23.978875
C1M600,2022/10/30 19:20,986.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,頭凍,嘉義縣,120.603339,23.406364
01H720,2022/10/30 19:20,415.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,清流(1),南投縣,120.953395,24.066314
C1F9J1,2022/10/30 19:20,723.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,清水林,臺中市,120.820419,24.071242
U2HA40,2022/10/30 19:20,507.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,臺大內茅埔,南投縣,120.851117,23.689722
C0SA10,2022/10/30 19:20,411.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,檳榔四格山,臺東縣,121.109308,22.810031
81I540,2022/10/30 19:20,459.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,上安,南投縣,120.876679,23.72541
C1H840,2022/10/30 19:20,231.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國三N238K,南投縣,120.699575,23.841008
C0K560,2022/10/30 19:20,117.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,棋山,雲林縣,120.603417,23.68645
01F680,2022/10/30 19:20,477.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,頭汴坑,臺中市,120.811125,24.115092
V2K610,2022/10/30 19:20,23.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,大庄合作社,雲林縣,120.367939,23.8068
C0G890,2022/10/30 19:20,24.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,伸港,彰化縣,120.484403,24.148933
C0K390,2022/10/30 19:20,31.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,土庫,雲林縣,120.395561,23.679019
C1I430,2022/10/30 19:20,2415.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,翠華,南投縣,121.224339,24.191961
CAHA00,2022/10/30 19:20,176.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,消防署訓,南投縣,120.72293,23.82137
81V820,2022/10/30 19:20,760.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,建山國小,高雄市,120.682922,23.105439
C0I420,2022/10/30 19:20,305.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國姓,南投縣,120.855072,24.037803
01L360,2022/10/30 19:20,680.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,小公田(2),嘉義縣,120.641716,23.424513
C0F9M0,2022/10/30 19:20,230.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,豐原,臺中市,120.720692,24.254322
C0K430,2022/10/30 19:20,30.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,褒忠,雲林縣,120.303619,23.690928
C0W120,2022/10/30 19:20,58.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,西嶼,澎湖縣,119.468436,23.5626
C0M770,2022/10/30 19:20,164.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,梅山,嘉義縣,120.555581,23.585386
81E880,2022/10/30 19:20,210.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,火炎山,苗栗縣,120.729316,24.356087
CAJ050,2022/10/30 19:20,4.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,海口故事園區,雲林縣,120.14121,23.57543
C0S930,2022/10/30 19:20,248.0,-998.0,-998.0,-998.0,-998.0,0.0,0.5,0.0,延平,臺東縣,121.084058,22.902581
CAE050,2022/10/30 19:20,339.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國一S152K,苗栗縣,120.749184,24.375492
C0O860,2022/10/30 19:20,38.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,大內,臺南市,120.360833,23.118847
81O960,2022/10/30 19:20,575.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,崁頭山,臺南市,120.501621,23.267835
CAC010,2022/10/30 19:20,214.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國一S072K,桃園市,121.1342,24.89583
C1I340,2022/10/30 19:20,897.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,新興橋,南投縣,120.868728,23.563333
C0G620,2022/10/30 19:20,110.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,芬園,彰化縣,120.6213,24.015678
C0X160,2022/10/30 19:20,26.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,仁德,臺南市,120.257689,22.968258
O1T810,2022/10/30 19:20,203.0,-998.0,-998.0,-998.0,-998.0,0.0,3.0,1.0,卓清國小,花蓮縣,121.271983,23.278428
CAF040,2022/10/30 19:20,54.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國一S188K,臺中市,120.585747,24.118546
01V070,2022/10/30 19:20,2230.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,天池,高雄市,120.916901,23.277581
01S570,2022/10/30 19:20,274.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,上里,臺東縣,121.057045,22.877254
72HA00,2022/10/30 19:20,628.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,中改埔里分場,南投縣,120.963364,23.903208
C0V690,2022/10/30 19:20,30.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,鼓山,高雄市,120.275575,22.623325
CAP030,2022/10/30 19:20,37.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,國一N351K,高雄市,120.328888,22.765833
C0X200,2022/10/30 19:20,61.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,左鎮,臺南市,120.408522,23.056758
C0F9O0,2022/10/30 19:20,175.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,潭子,臺中市,120.703933,24.213106
01O750,2022/10/30 19:20,130.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,王爺宮,臺南市,120.400432,23.222178
81H910,2022/10/30 19:20,198.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,平林國小,南投縣,120.7625,23.992778
72C440,2022/10/30 19:20,70.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,桃園農改,桃園市,121.030583,24.950944
01C400,2022/10/30 19:20,142.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,石門後池,桃園市,121.25144,24.824459
O1V520,2022/10/30 19:20,587.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,民權,高雄市,120.696723,23.240357
467990,2022/10/30 19:20,97.8,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,馬祖,連江縣,119.923158,26.169467
01D100,2022/10/30 19:20,940.0,-998.0,-998.0,-998.0,-998.0,0.0,0.0,0.0,太閣南,新竹縣,121.148046,24.625286
