Full_Town_Name,High_Count,Med_Count,Low_Count,Safe_Count,Total_Count,Dependency_Score,At_Risk_Cap,Safe_Cap,Cap_Gap,Norm_Dependency,Norm_Gap,Total_Risk_Score
臺中市烏日區,9,4,0,0,13,2.692100607645566,6950,0,6950,0.8974027638899573,0.10075092052999333,0.9981536844199507
臺中市石岡區,6,4,0,0,10,2.5997400259974004,720,0,720,0.8666146718661468,0.010437505436200749,0.8770521773023475
臺中市神岡區,0,1,0,9,10,0.19998000199980004,209,1862,0,0.06666266706662669,0.0,0.06666266706662669
臺中市西區,3,2,2,0,7,2.142551064133695,600,0,600,0.7142122553920868,0.008697921196833956,0.7229101765889208
臺中市西屯區,6,9,8,0,23,1.9129603060736489,20739,0,20739,0.6376789414952974,0.3006436461685657,0.938322587663863
臺中市豐原區,6,13,13,3,35,1.628524899288592,7890,715,7175,0.5428633467615211,0.10401264097880607,0.6468759877403272
臺中市霧峰區,11,3,1,0,15,2.666488900739951,10686,0,10686,0.8888651867653269,0.15490997651561278,1.0437751632809396
臺中市龍井區,9,1,5,2,17,1.9998823598611846,1630,135,1495,0.6666541183851931,0.02167232031544461,0.6883264387006377
臺北市中山區,10,1,9,3,23,1.7825311942959001,4959,371,4588,0.5942008318478907,0.06651010408512366,0.6607109359330144
臺北市中正區,5,4,7,3,19,1.578864270301563,9582,90,9492,0.526309141624125,0.1376011133339132,0.6639102549580382
臺北市信義區,1,5,9,4,19,1.1578337982211462,3181,648,2533,0.38596003719102506,0.03671972398596735,0.4226797611769924
臺北市內湖區,10,12,4,0,26,2.23068343525249,8947,0,8947,0.7435908875299667,0.12970050158012236,0.8732913891100891
臺北市北投區,18,5,2,2,27,2.444353912818044,6486,50,6436,0.8148172289915189,0.09329970137137224,0.9081169303628911
臺北市南港區,12,3,0,0,15,2.7998133457769483,10891,0,10891,0.9333084461035932,0.15788176625786438,1.0911902123614576
臺北市士林區,23,3,7,0,33,2.484773188691252,4213,0,4213,0.8282908598729333,0.061073903337102435,0.8893647632100357
臺北市大同區,9,7,2,0,18,2.3887561802122104,3902,0,3902,0.7962839101531397,0.05656548085007683,0.8528493910032166
臺北市大安區,4,1,10,25,40,0.5999850003749907,49468,8559,40909,0.20000299992500192,0.5930387637354673,0.7930417636604692
臺北市文山區,24,6,2,0,32,2.6874160182494298,4501,0,4501,0.8958411716300533,0.06524890551158273,0.961090077141636
